AcquirerName,TargetName,TransactionAnnouncementDate,PercentageOfSharesAcquired,AcquirerRegion,TargetRegion,PricePerShare,CurrencyCodeOfTransaction,DealPurpose,FormOfTransactionName,TransactionStatus,InitialPricePerShare,PremiumAsOn1DayPriorToAnnouncementDate,PremiumAsOn1WeekPriorToAnnouncementDate,PremiumAsOn4WeeksPriorToAnnouncementDate,AcquirerPublicStatus,TargetPublicStatus,AcquirerMidIndustry,TargetMidIndustry,AnalystEstimatedValue,RatioOfTransactionValueToNetIncome,RatioOfTransactionValueToCashFlow,RatioOfTransactionValueToSales,RatioOfRankvalueToNetIncome,RatioOfRankvalueToCashFlow,RatioOfRankvalueToSales,TransactionValueIncludingNetDebtOfTarget,TransactionEffectiveDate
['Mih Food Delivery Holdings BV'],['Just Eat Ltd'],2019-10-22,0,Europe,Europe,10.461,STG,"['Concentrate on core businesses/assets', 'Expand presence in new/foreign markets', 'Create synergies, eliminate duplicate services/operations', 'Strengthen operations', 'Allow to offer new products and services']",Merger,Withdrawn,9.284,1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000000027,1970-01-01 00:00:00.000000028,Subsidiary,Public,Other Financials,Internet and Catalog Retailing,,,0.0,11.754,,,11.393,6919.639,2019-10-22
['Wynn Resorts Ltd'],['Crown Resorts Ltd'],2019-04-09,0,Americas,Asia Pacific Excluding Central Asia,10.511,AU,['Strengthen operations'],Merger,Withdrawn,10.511,1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000000026,Public,Public,Casinos & Gaming,Casinos & Gaming,,20.054,12.27,3.143,19.682,12.043,3.085,6985.535,2019-04-09
['Patrick Drahi'],['Eutelsat Communications SA'],2021-09-29,0,Europe,Europe,14.03,EUR,"['Strengthen operations', 'General strategy to take advantage of sound investment opportunities']",Merger,Withdrawn,14.03,1970-01-01 00:00:00.000000018,1970-01-01 00:00:00.000000021,1970-01-01 00:00:00.000000023,Investor,Public,Other Financials,Space and Satellites,,12.23,3.263,2.261,23.857,6.365,4.41,6309.644,2021-09-29
['Samhallsbyggnadsbolaget I Norden AB'],['Entra ASA'],2020-11-24,0,Europe,Europe,21.735,NKR,"['Create synergies, eliminate duplicate services/operations', 'Strengthen existing operations/expand presence in primary market', 'Strengthen operations', 'Increase shareholder value/dilute number of outstanding shares']",Merger,Withdrawn,18.875,1970-01-01 00:00:00.000000032,1970-01-01 00:00:00.000000031,1970-01-01 00:00:00.000000052,Public,Public,REITs,Non Residential,,12.007,17.03,13.92,19.081,27.063,22.12,6290.735,2020-11-24
['MKS Instruments Inc'],['Coherent Inc'],2021-02-08,0,Americas,Americas,250.0,US,"['Create synergies, eliminate duplicate services/operations', 'Strengthen operations', 'Increase shareholder value']",Merger,Withdrawn,236.309,1970-01-01 00:00:00.000000064,1970-01-01 00:00:00.000000042,1970-01-01 00:00:00.000000073,Public,Public,Other Industrials,Semiconductors & Semiconductor Equipment,,-14.559,61.369,4.952,-14.328,60.394,4.873,6014.614,2021-02-08
['Castellum AB'],['Entra ASA'],2020-11-25,0,Europe,Europe,21.602,NKR,"['Create synergies, eliminate duplicate services/operations', 'Strengthen existing operations/expand presence in primary market', 'Strengthen operations', 'Increase shareholder value']",Merger,Withdrawn,19.903,1970-01-01 00:00:00.000000028,1970-01-01 00:00:00.000000028,1970-01-01 00:00:00.000000047,Public,Public,REITs,Non Residential,,11.682,16.569,13.543,18.756,26.601,21.743,5992.701,2020-11-25
['AustralianSuper Pty Ltd'],['Infratil Ltd'],2020-12-08,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,5.232,NZ,['General strategy to take advantage of sound investment opportunities'],Merger,Withdrawn,5.232,1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000000026,1970-01-01 00:00:00.000000037,Private,Public,Asset Management,Power,,11.053,41.802,4.637,17.36,65.657,7.284,5941.291,2020-12-08
['Investor Group'],['CoreLogic Inc'],2020-06-26,0,Americas,Americas,66.0,US,"['Strengthen operations', 'Increase shareholder value']",Merger,Withdrawn,65.0,1970-01-01 00:00:00.000000024,1970-01-01 00:00:00.000000032,1970-01-01 00:00:00.000000033,Private,Public,Other Financials,Internet Software & Services,,32.189,11.078,2.913,40.947,14.092,3.705,5908.283,2020-06-26
['Pulver BidCo GmbH'],['Scout24 SE'],2019-01-18,0,Americas,Europe,51.975,EUR,"['Private Equity Buy and Build strategy.', 'Strengthen operations']",Merger,Withdrawn,49.151,1970-01-01 00:00:00.000000026,1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000000029,Private,Public,Other Financials,E-commerce / B2B,5649.5,30.102,19.365,9.308,34.619,22.271,10.705,6431.809,2019-01-18
['Altice USA Inc'],['Cogeco Communications Inc'],2020-09-02,0,Americas,Americas,113.748,C,"['Expand presence in new/foreign markets', 'Strengthen operations', 'Increase shareholder value']",Merger,Withdrawn,101.782,1970-01-01 00:00:00.000000050,1970-01-01 00:00:00.000000045,1970-01-01 00:00:00.000000043,Public,Public,Cable,Cable,,12.25,4.229,2.038,19.196,6.627,3.193,5773.193,2020-09-02
