AcquirerName,TargetName,TransactionAnnouncementDate,PercentageOfSharesAcquired,AcquirerRegion,TargetRegion,PricePerShare,CurrencyCodeOfTransaction,DealPurpose,FormOfTransactionName,TransactionStatus,InitialPricePerShare,PremiumAsOn1DayPriorToAnnouncementDate,PremiumAsOn1WeekPriorToAnnouncementDate,PremiumAsOn4WeeksPriorToAnnouncementDate,AcquirerPublicStatus,TargetPublicStatus,AcquirerMidIndustry,TargetMidIndustry,AnalystEstimatedValue,RatioOfTransactionValueToNetIncome,RatioOfTransactionValueToCashFlow,RatioOfTransactionValueToSales,RatioOfRankvalueToNetIncome,RatioOfRankvalueToCashFlow,RatioOfRankvalueToSales,TransactionValueIncludingNetDebtOfTarget,TransactionEffectiveDate
['Alpha Ventures Investment LLP'],['Iz Hayvancilik Tarim ve Gida Sanayi Ticaret AS'],2021-03-02,0,Europe,Europe,1.009,TL,,Merger,Withdrawn,0.995,1969-12-31 23:59:59.999999933,1969-12-31 23:59:59.999999931,1969-12-31 23:59:59.999999933,Private,Public,Other Financials,Agriculture & Livestock,,-44.583,0.0,5.717,-52.014,-119.674,6.669,10.032,2021-03-02
['SB&G (Telecoms) Pty Ltd'],['IAB Holdings Ltd'],2018-11-15,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.699,AU,,Merger,Withdrawn,0.662,1970-01-01 00:00:00.000000017,1970-01-01 00:00:00.000000016,1970-01-01 00:00:00.000000035,Subsidiary,Public,Wireless,Wireless,,-1.656,5.559,0.224,-2.445,8.21,0.33,21.266,2018-11-15
['Ye Zuqu'],['Guangdong Quanwei Technology Co Ltd'],2021-03-22,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.209,CY,,Acquisition Of Partial Interest,Withdrawn,1.209,1969-12-31 23:59:59.999999993,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000010,Investor,Public,Other Financials,Other Materials,,-4.047,0.0,0.677,-6.826,-15.765,1.141,9.793,2021-03-22
['Zhuhai Huafa Group Co Ltd'],['Guangdong Biolight Meditech Co Ltd'],2018-11-05,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.858,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,1.858,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000017,1970-01-01 00:00:00.000000007,Private,Public,Other Real Estate,Healthcare Equipment & Supplies,,29.281,17.687,2.366,28.672,17.318,2.317,21.714,2018-11-05
['Beijing HuaTag Power Science & Technology Development Co Ltd'],['PineNex Co Ltd'],2018-11-29,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.557,WON,,Acquisition Of Partial Interest,Withdrawn,1.557,1969-12-31 23:59:59.999999999,1970-01-01 00:00:00.000000042,1970-01-01 00:00:00.000000043,Private,Public,Other Financials,Semiconductors,,81.723,0.0,3.439,131.668,-24.937,5.541,20.315,2018-11-29
['Yibin Tianyi Lithium Industry Co Ltd'],['AVZ Minerals Ltd'],2019-11-11,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.031,AU,,Acquisition Of Partial Interest,Withdrawn,0.031,1970-01-01 00:00:00.000000004,1969-12-31 23:59:59.999999994,1970-01-01 00:00:00.000000004,Private,Public,Other Energy & Power,Metals & Mining,,-22.24,0.0,1054.699,-21.948,-25.381,1040.834,9.701,2019-11-11
['Technology No.1 Private Equity Fund'],['Kespion Co Ltd'],2020-01-14,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.867,WON,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,0.867,1969-12-31 23:59:59.999999936,1969-12-31 23:59:59.999999936,1969-12-31 23:59:59.999999936,Private,Public,Other Financials,Telecommunications Equipment,,11.932,8.373,0.517,13.11,9.2,0.569,9.64,2020-01-14
['Shanghai Yinghao Asset Management Co Ltd'],['Kehua Holdings Co Ltd'],2019-05-08,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.948,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,1.948,1969-12-31 23:59:59.999999995,1969-12-31 23:59:59.999999989,1969-12-31 23:59:59.999999978,Private,Public,Alternative Financial Investments,Automobiles & Components,,17.1,7.062,1.172,23.656,9.77,1.622,12.995,2019-05-08
['Masabumi Mori'],['Hiramatsu Inc'],2019-03-08,0,Japan,Japan,3.047,Y,['Increase shareholder value'],Acquisition Of Partial Interest,Withdrawn,3.047,1969-12-31 23:59:59.999999998,1969-12-31 23:59:59.999999998,1970-01-01 00:00:00.000000001,Investor,Public,Other Financials,Food Processing,,108.115,10.775,1.466,128.58,12.814,1.744,15.235,2019-03-08
['Koray Gayrimenkul Ve Yatirim AS'],['Koray Gayrimenkul Yatirim Ortakligi AS'],2021-05-18,0,Europe,Europe,0.535,TL,,Acquisition Of Remaining Interest,Withdrawn,0.533,1969-12-31 23:59:59.999999971,1969-12-31 23:59:59.999999973,1969-12-31 23:59:59.999999975,Subsidiary,Public,REITs,REITs,,49.842,0.0,3.542,42.142,-651.111,2.995,9.535,2021-05-18
['Wansheng Industry Holdings Shenzhen Co Ltd'],['Bestway Marine & Energy Technology Co Ltd'],2018-09-08,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.512,CY,,Acquisition Of Partial Interest,Withdrawn,0.512,1969-12-31 23:59:59.999999999,1970-01-01 00:00:00.000000004,1969-12-31 23:59:59.999999990,Private,Public,Other Financials,Automobiles & Components,,27.089,26.391,2.398,34.875,33.977,3.087,24.56,2018-09-08
['Digicann Ventures Inc'],['Eviana Health Corp'],2019-08-09,0,Americas,Americas,0.391,C,['Strengthen operations'],Merger,Withdrawn,0.391,1970-01-01 00:00:00.000000061,1970-01-01 00:00:00.000000069,1970-01-01 00:00:00.000000052,Public,Public,Pharmaceuticals,Pharmaceuticals,,-3.608,0.0,,-3.793,-5.742,,9.822,2019-08-09
['WJ Trading Co Ltd'],['Digicap Co Ltd'],2021-10-25,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,8.161,WON,,Acquisition Of Partial Interest,Withdrawn,8.161,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000024,1970-01-01 00:00:00.000000048,Private,Public,Other Financials,IT Consulting & Services,,39.948,15.807,2.957,37.697,14.916,2.79,9.342,2021-10-25
['Yeol-Ok Seong'],['IREM Co Ltd'],2021-01-07,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.653,WON,,Acquisition Of Partial Interest,Withdrawn,0.653,1969-12-31 23:59:59.999999979,1969-12-31 23:59:59.999999979,1969-12-31 23:59:59.999999979,Investor,Public,Other Financials,Metals & Mining,,-1.254,0.0,0.816,-2.242,-11.343,1.459,9.192,2021-01-07
['Sineoseuteu Co Ltd'],['TerraSem Co Ltd'],2020-12-15,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,2.354,WON,,Acquisition Of Partial Interest,Withdrawn,2.354,1969-12-31 23:59:59.999999988,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000003,Private,Public,Professional Services,Semiconductors,,-11.083,0.0,8.071,-13.013,-122.676,9.477,9.149,2020-12-15
['Vinacomin Power Holding Corp'],['TKV - Campha Thermal Power JSC'],2019-09-10,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.43,VTD,,Acquisition Of Remaining Interest,Withdrawn,0.43,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000020,1970-01-01 00:00:00.000000017,Public,Public,Alternative Energy Sources,Power,,55.784,4.266,0.892,153.268,11.721,2.452,9.143,2019-09-10
['KGT Asset Management Co Ltd'],['Coson Co Ltd'],2021-02-18,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,4.159,WON,,Acquisition Of Partial Interest,Withdrawn,4.159,1969-12-31 23:59:59.999999997,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000010,Private,Public,Other Financials,Other Consumer Products,,-2.687,0.0,1.041,-4.461,-13.658,1.728,9.045,2021-02-18
['Faidy New Technology Investment Fund No 16'],['Coson Co Ltd'],2021-02-18,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,4.159,WON,,Acquisition Of Partial Interest,Withdrawn,4.159,1969-12-31 23:59:59.999999997,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000010,Private,Public,Other Financials,Other Consumer Products,,-3.096,0.0,1.2,-4.869,-14.911,1.887,9.045,2021-02-18
['Virtex Holdings Co Ltd'],['DG ITX Co Ltd'],2020-09-21,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.963,WON,,Acquisition Of Partial Interest,Withdrawn,1.963,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000034,Private,Public,Other Financials,Electronics,,-13.639,0.0,2.391,-12.212,-39.287,2.14,9.014,2020-09-21
['Investor Group'],['GeumVit Corp'],2020-12-23,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.451,WON,,Acquisition Of Partial Interest,Withdrawn,0.451,1970-01-01 00:00:00.000000002,1969-12-31 23:59:59.999999996,1969-12-31 23:59:59.999999986,Private,Public,Other Financials,Other Industrials,,-1.566,0.0,0.978,-2.882,-4.32,1.801,9.011,2020-12-23
['Yeongseok Jeon'],['Castec Korea Co Ltd'],2021-06-08,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,3.253,WON,,Acquisition Of Partial Interest,Withdrawn,3.253,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000002,1969-12-31 23:59:59.999999999,Investor,Public,Other Financials,Automobiles & Components,,-4.36,13.878,0.494,-11.08,35.266,1.255,9.004,2021-06-08
['Beta Dynamic Ltd'],['Wisdomcome Group Holdings Ltd'],2020-03-15,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.037,HK,,Merger,Withdrawn,0.037,1969-12-31 23:59:59.999999973,1969-12-31 23:59:59.999999977,1969-12-31 23:59:59.999999966,Private,Public,Other Financials,Food and Beverage,,-1.112,0.0,0.584,-1.112,-1.202,0.584,8.972,2020-03-15
['Surmegoz Tekstil Yatirim AS'],['Yunsa Yunlu Sanayi ve Ticaret AS'],2019-12-03,0,Europe,Europe,0.729,TL,,Acquisition Of Remaining Interest,Withdrawn,0.729,1969-12-31 23:59:59.999999950,1969-12-31 23:59:59.999999956,1969-12-31 23:59:59.999999986,Subsidiary,Public,Textiles & Apparel,Textiles & Apparel,,25.13,3.648,0.273,46.392,6.735,0.504,8.953,2019-12-03
['UTC Investment Co Ltd (Aka UTC Venture Co Ltd)'],['PeopleBio Inc'],2021-07-01,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,20.869,WON,,Acquisition Of Partial Interest,Withdrawn,20.869,1969-12-31 23:59:59.999999989,1969-12-31 23:59:59.999999996,1969-12-31 23:59:59.999999995,Private,Public,Other Financials,Healthcare Equipment & Supplies,,-42.453,0.0,826.646,-38.443,-45.058,748.557,8.846,2021-07-01
['Samsung Gold Exchange Holding Co Ltd'],['Fusion Co Ltd'],2018-09-20,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.886,WON,,Acquisition Of Majority Interest,Withdrawn,5.659,1969-12-31 23:59:59.999999929,1969-12-31 23:59:59.999999934,1969-12-31 23:59:59.999999935,Private,Public,Professional Services,Software,,-2.967,0.0,2.457,-3.617,-5.142,2.995,22.425,2018-09-20
['IPS Strategic Management Ltd'],['GeumVit Corp'],2021-02-10,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.44,WON,,Acquisition Of Partial Interest,Withdrawn,0.449,1970-01-01 00:00:00.000000027,1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000000025,Private,Public,Other Financials,Other Industrials,,-2.823,0.0,1.227,-5.56,-5.737,2.417,8.804,2021-02-10
['ABT One Co Ltd'],['Y&Next Inc'],2020-12-29,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,4.455,WON,,Acquisition Of Partial Interest,Withdrawn,5.262,1969-12-31 23:59:59.999999984,1969-12-31 23:59:59.999999988,1970-01-01 00:00:00.000000007,Private,Public,Machinery,Electronics,,-5.026,10.271,0.407,-5.946,12.153,0.482,8.76,2020-12-29
['Kuwait Food Company KSCP'],['Egyptian Co for International Touristic Projects SAE'],2019-07-29,0,"Africa, Middle East, or Central Asia","Africa, Middle East, or Central Asia",0.242,EP,,Acquisition Of Remaining Interest,Withdrawn,0.242,1969-12-31 23:59:59.999999951,1969-12-31 23:59:59.999999949,1969-12-31 23:59:59.999999952,Subsidiary,Public,Agriculture & Livestock,FOOD/BEVERAGES,,599.767,9.12,0.389,607.726,9.241,0.394,9.388,2019-07-29
['Investor Group'],['E&M Co Ltd'],2019-04-10,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.984,WON,,Acquisition Of Partial Interest,Withdrawn,1.134,1969-12-31 23:59:59.999999986,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000018,Private,Public,Other Financials,Internet Software & Services,,-51.303,21.065,2.805,-54.288,22.29,2.968,12.69,2019-04-10
['Seoul Finance Club Co Ltd'],['Pusan Cast Iron Co Ltd'],2020-10-06,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.436,WON,,Acquisition Of Partial Interest,Withdrawn,0.436,1969-12-31 23:59:59.999999975,1969-12-31 23:59:59.999999997,1970-01-01 00:00:00.000000036,Private,Public,Other Financials,Automobiles & Components,,-1.203,0.0,0.21,-7.771,-114.919,1.357,8.642,2020-10-06
['Tiger Value Fund'],['PaxNet Inc'],2020-01-17,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,3.1,WON,['Raise cash through disposal'],Acquisition Of Partial Interest,Withdrawn,3.1,1969-12-31 23:59:59.999999990,1969-12-31 23:59:59.999999986,1969-12-31 23:59:59.999999989,Private,Public,Other Financials,Internet Software & Services,,-1.77,0.0,4.968,-2.83,-5.111,7.941,8.623,2020-01-17
['Gil & Partners Co Ltd'],['Y&Next Inc'],2020-12-29,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,2.031,WON,,Acquisition Of Partial Interest,Withdrawn,5.159,1969-12-31 23:59:59.999999939,1969-12-31 23:59:59.999999941,1969-12-31 23:59:59.999999950,Private,Public,Other Financials,Electronics,,-2.588,5.289,0.21,-3.509,7.171,0.284,8.589,2020-12-29
['LU Co Ltd'],['Seyoung D&C Co Ltd'],2019-11-22,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,3.793,WON,['Raise cash through disposal'],Acquisition Of Partial Interest,Withdrawn,3.793,1970-01-01 00:00:00.000000002,1969-12-31 23:59:59.999999999,1970-01-01 00:00:00.000000001,Private,Public,Other Financials,Motion Pictures / Audio Visual,,-5.568,0.0,6.911,-6.147,-20.311,7.629,8.5,2019-11-22
['Damasus Private Equity Joint Stock Co'],['Kosun Bio Co Ltd'],2019-09-03,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.937,WON,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,2.148,1969-12-31 23:59:59.999999928,1969-12-31 23:59:59.999999945,1969-12-31 23:59:59.999999980,Subsidiary,Public,Other Financials,Food and Beverage,,-2.662,0.0,30.123,-2.888,-3.383,32.679,8.44,2019-09-03
['IGIS SKS New Technology Investment Association No 1'],['Woojin Inc'],2021-09-30,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,8.528,WON,,Acquisition Of Partial Interest,Withdrawn,8.528,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000020,Private,Public,Other Financials,Electronics,,11.076,24.631,2.01,10.613,23.602,1.926,8.424,2021-09-30
['Quattro S Fund'],['Polaris Office Corp'],2020-03-09,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.104,WON,['Raise cash through disposal'],Acquisition Of Partial Interest,Withdrawn,1.104,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000012,1969-12-31 23:59:59.999999993,Private,Public,Other Financials,IT Consulting & Services,,-7.629,0.0,2.81,-6.915,-10.301,2.547,8.413,2020-03-09
['Anyfan BTS Co Ltd'],['ToBeSoft Co Ltd'],2020-09-11,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.364,WON,,Acquisition Of Partial Interest,Withdrawn,1.364,1969-12-31 23:59:59.999999990,1969-12-31 23:59:59.999999993,1970-01-01 00:00:00.000000005,Private,Public,Other Financials,IT Consulting & Services,,-2.413,0.0,1.587,-2.948,-47.814,1.94,8.417,2020-09-11
['Penns Woods Bancorp Inc'],['Penns Woods Bancorp Inc'],2021-04-13,0,Americas,Americas,23.85,US,['Other'],Buyback,Withdrawn,23.85,1970-01-01 00:00:00.000000000,1969-12-31 23:59:59.999999996,1969-12-31 23:59:59.999999996,Public,Public,Banks,Banks,,10.793,7.801,2.871,10.793,7.801,2.871,8.415,2021-04-13
['Investor Group'],['G9Pharma Co Ltd'],2021-05-20,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,4.945,WON,,Acquisition Of Partial Interest,Withdrawn,1.182,1970-01-01 00:00:00.000000257,1970-01-01 00:00:00.000000355,1970-01-01 00:00:00.000000326,Private,Public,Other Financials,Healthcare Equipment & Supplies,,-0.595,0.0,1.053,-1.201,-4.035,2.126,8.41,2021-05-20
['ParadisePoint Inc'],['Cornerstone Networks Co Ltd'],2020-02-20,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.612,WON,,Acquisition Of Partial Interest,Withdrawn,0.612,1969-12-31 23:59:59.999999987,1970-01-01 00:00:00.000000000,1969-12-31 23:59:59.999999992,Private,Public,Other Financials,Electronics,,-1.948,0.0,7.463,-2.262,-9.054,8.664,8.386,2020-02-20
['Beijing Automotive Group Co Ltd'],['Earth & Aerospace Manufacturing Ind Co Ltd'],2019-05-28,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,4.455,WON,,Acquisition Of Partial Interest,Withdrawn,6.724,1969-12-31 23:59:59.999999952,1969-12-31 23:59:59.999999960,1970-01-01 00:00:00.000000000,Subsidiary,Public,AUTOMOTIVE,Aerospace & Defense,,-1.746,0.0,2.174,-2.41,-3.849,3.0,10.671,2019-05-28
['KK KK'],['Koyosha Inc'],2021-03-08,0,Japan,Japan,9.745,Y,['Other'],Acquisition Of Majority Interest,Withdrawn,8.596,1970-01-01 00:00:00.000000048,1970-01-01 00:00:00.000000047,1970-01-01 00:00:00.000000045,Private,Public,Other Financials,Publishing,,-10.538,76.454,0.309,-0.88,6.385,0.026,8.276,2021-03-08
['Ellington Investment Fund'],['Kangwon Energy Co Ltd (JEOLLABUK-DO)'],2019-11-19,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,2.48,WON,['Raise cash through disposal'],Acquisition Of Partial Interest,Withdrawn,3.261,1969-12-31 23:59:59.999999977,1969-12-31 23:59:59.999999981,1970-01-01 00:00:00.000000055,Private,Public,Other Financials,Other Industrials,,-1.604,0.0,1.344,-2.01,-4.199,1.684,8.249,2019-11-19
['Respiri Ltd'],['Adherium Ltd'],2021-04-29,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.014,NZ,,Merger,Withdrawn,0.014,1970-01-01 00:00:00.000000017,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000009,Public,Public,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,,-1.334,0.0,6.807,-0.932,-1.255,4.754,8.237,2021-04-29
['B&R Big Data Industry Development Co Ltd'],['Century Plaza Hotel Group'],2019-04-28,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.051,HK,,Acquisition Of Partial Interest,Withdrawn,0.051,1970-01-01 00:00:00.000000370,1970-01-01 00:00:00.000000344,1970-01-01 00:00:00.000000312,Private,Public,Computers & Peripherals,Professional Services,,-5.623,0.0,13.481,-5.38,-11.085,12.897,11.417,2019-04-28
['BP Holdings Korea Co Ltd'],['IlWoul GML Co Ltd'],2018-11-21,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.63,WON,,Acquisition Of Partial Interest,Withdrawn,2.796,1969-12-31 23:59:59.999999959,1969-12-31 23:59:59.999999964,1969-12-31 23:59:59.999999954,Private,Public,Other Financials,Electronics,,-1.796,0.0,0.982,-2.804,-7.946,1.534,17.62,2018-11-21
['BP Holdings Korea Co Ltd'],['IlWoul GML Co Ltd'],2018-11-21,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.445,WON,,Acquisition Of Partial Interest,Withdrawn,2.458,1969-12-31 23:59:59.999999952,1969-12-31 23:59:59.999999957,1969-12-31 23:59:59.999999948,Private,Public,Other Financials,Electronics,,-1.687,0.0,0.923,-2.695,-7.637,1.474,17.62,2018-11-21
['Zhu Guiping'],['Wai Chun Group Holdings Ltd'],2020-11-27,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.014,HK,,Acquisition Of Partial Interest,Withdrawn,0.014,1970-01-01 00:00:00.000000006,1969-12-31 23:59:59.999999982,1969-12-31 23:59:59.999999963,Investor,Public,Other Financials,Electronics,,-9.117,0.0,2.465,-15.332,-33.063,4.146,8.193,2020-11-27
['Investor Group'],['JaanhBio Inc'],2018-08-14,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,11.528,WON,,Acquisition Of Majority Interest,Withdrawn,11.528,1970-01-01 00:00:00.000000067,1970-01-01 00:00:00.000000075,1970-01-01 00:00:00.000000066,Private,Public,Other Financials,Chemicals,,-8.667,0.0,1.374,-7.262,-22.896,1.151,23.056,2018-08-14
['Investor Group'],['Y Optics Manufacture Co Ltd'],2019-08-12,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,4.202,WON,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,9.172,1969-12-31 23:59:59.999999936,1969-12-31 23:59:59.999999939,1969-12-31 23:59:59.999999974,Private,Public,Other Financials,Recreation & Leisure,,-2.696,0.0,1.217,-3.039,-5.715,1.371,8.454,2019-08-12
['Investor Group'],['Melfas Inc'],2021-08-24,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.862,WON,,Acquisition Of Partial Interest,Withdrawn,2.328,1969-12-31 23:59:59.999999927,1969-12-31 23:59:59.999999940,1969-12-31 23:59:59.999999946,Private,Public,Other Financials,Telecommunications Equipment,,-5.81,0.0,1.993,-8.103,-125.867,2.78,8.132,2021-08-24
['Jung-hoon Kim'],['Apam Corp'],2020-06-01,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.392,WON,['Raise cash through disposal'],Acquisition Of Partial Interest,Withdrawn,0.392,1969-12-31 23:59:59.999999992,1969-12-31 23:59:59.999999983,1969-12-31 23:59:59.999999991,Investor,Public,Other Financials,Automobiles & Components,,-1.048,0.0,1.608,-1.786,-7.776,2.741,8.12,2020-06-01
['Alpek Polyester SA de CV'],['Enka de Colombia SA'],2020-11-05,0,Americas,Americas,0.003,CP,,Acquisition Of Partial Interest,Withdrawn,0.003,1970-01-01 00:00:00.000000040,,,Subsidiary,Public,Chemicals,Chemicals,,12.047,2.815,0.352,13.16,3.075,0.385,8.104,2020-11-05
['Applied Development Holdings Ltd'],['FDB Holdings Ltd'],2020-01-08,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.157,HK,,Acquisition Of Partial Interest,Withdrawn,0.157,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000010,1969-12-31 23:59:59.999999997,Public,Public,Other Real Estate,Building/Construction & Engineering,,14.475,5.76,1.305,13.309,5.296,1.2,8.022,2020-01-08
['Investor Group'],['Setopia Co Ltd'],2018-11-06,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,5.394,WON,,Acquisition Of Partial Interest,Withdrawn,5.394,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000002,1969-12-31 23:59:59.999999997,Private,Public,Other Financials,Software,,-12.497,0.0,8.334,-14.506,-36.459,9.674,17.86,2018-11-06
['MK NETWORK Co Ltd'],['Y Optics Manufacture Co Ltd'],2019-08-12,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,8.94,WON,,Acquisition Of Partial Interest,Withdrawn,8.94,1969-12-31 23:59:59.999999978,1969-12-31 23:59:59.999999985,1970-01-01 00:00:00.000000059,Private,Public,Other Financials,Recreation & Leisure,,7.155,735.119,4.087,8.126,834.946,4.642,8.24,2019-08-12
['Undisclosed Acquiror'],['Digihost Technology Inc'],2021-02-23,0,Unknown Region,Americas,2.776,C,,Acquisition Of Partial Interest,Withdrawn,2.776,1969-12-31 23:59:59.999999962,1970-01-01 00:00:00.000000060,1970-01-01 00:00:00.000000407,Private,Public,Brokerage,Other Financials,,-22.739,0.0,33.221,-22.739,-50.153,33.221,7.93,2021-02-23
['Kj Investment Fund'],['PaxNet Inc'],2019-02-14,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,6.161,WON,,Acquisition Of Partial Interest,Withdrawn,6.161,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000002,1969-12-31 23:59:59.999999987,Private,Public,Other Financials,Internet Software & Services,,-46.586,0.0,5.132,-48.752,-76.097,5.37,13.335,2019-02-14
['Investor Group'],['Gold&S Co Ltd'],2019-01-30,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,3.446,WON,,Acquisition Of Partial Interest,Withdrawn,3.446,1969-12-31 23:59:59.999999999,1970-01-01 00:00:00.000000020,1970-01-01 00:00:00.000000028,Private,Public,Other Financials,Educational Services,,-23.544,0.0,11.881,-25.092,-33.412,12.662,13.873,2019-01-30
['Investor Group'],['IREM Co Ltd'],2019-02-07,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.398,WON,['Raise cash through disposal'],Acquisition Of Partial Interest,Withdrawn,1.646,1969-12-31 23:59:59.999999921,1969-12-31 23:59:59.999999967,1969-12-31 23:59:59.999999977,Private,Public,Other Financials,Metals & Mining,,-0.888,0.0,0.865,-1.914,-18.244,1.864,13.557,2019-02-07
['Investor Group'],['MagicMicro Co Ltd'],2019-04-16,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,2.734,WON,,Acquisition Of Partial Interest,Withdrawn,2.734,1970-01-01 00:00:00.000000082,1970-01-01 00:00:00.000000080,1970-01-01 00:00:00.000000098,Private,Public,Other Financials,Electronics,,-35.286,25.679,2.206,-42.715,31.085,2.671,11.156,2019-04-16
['Zhu Guiping'],['Wai Chun Group Holdings Ltd'],2020-11-30,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.013,HK,,Acquisition Of Partial Interest,Withdrawn,0.013,1970-01-01 00:00:00.000000002,1969-12-31 23:59:59.999999984,1969-12-31 23:59:59.999999959,Investor,Public,Other Financials,Electronics,,-8.603,0.0,2.326,-14.818,-31.954,4.007,7.741,2020-11-30
['Shenzhen Xin Lang Tong Technology Co Ltd'],['Enviro Energy International Holdings Ltd'],2019-04-02,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.006,HK,"['Raise cash through disposal', 'Increase shareholder value']",Acquisition Of Partial Interest,Withdrawn,0.006,1969-12-31 23:59:59.999999977,1969-12-31 23:59:59.999999980,1969-12-31 23:59:59.999999969,Private,Public,IT Consulting & Services,Oil & Gas,,-37.061,0.0,0.608,-49.896,-27.735,0.818,11.434,2019-04-02
